genotype_id	population_code	population_name	superpopulation_code
NA20508	TSI	Tuscan	EUR
NA12812	CEU	CEPH	EUR
HG00315	FIN	Finnish	EUR
NA12749	CEU	CEPH	EUR
HG00377	FIN	Finnish	EUR
NA20510	TSI	Tuscan	EUR
NA07056	CEU	CEPH	EUR
HG00155	GBR	British	EUR
HG00355	FIN	Finnish	EUR
NA19119	YRI	Yoruba	AFR
HG00350	FIN	Finnish	EUR
NA12275	CEU	CEPH	EUR
HG00336	FIN	Finnish	EUR
HG00273	FIN	Finnish	EUR
HG00123	GBR	British	EUR
HG00236	GBR	British	EUR
NA19236	YRI	Yoruba	AFR
HG00345	FIN	Finnish	EUR
NA12144	CEU	CEPH	EUR
HG00096	GBR	British	EUR
HG00157	GBR	British	EUR
NA19204	YRI	Yoruba	AFR
HG00384	FIN	Finnish	EUR
NA18498	YRI	Yoruba	AFR
HG00321	FIN	Finnish	EUR
HG00320	FIN	Finnish	EUR
NA06994	CEU	CEPH	EUR
NA12489	CEU	CEPH	EUR
NA11931	CEU	CEPH	EUR
NA20518	TSI	Tuscan	EUR
NA12830	CEU	CEPH	EUR
NA20541	TSI	Tuscan	EUR
HG00242	GBR	British	EUR
NA20752	TSI	Tuscan	EUR
NA19171	NA	NA	NA
HG00331	FIN	Finnish	EUR
HG00262	GBR	British	EUR
NA12005	CEU	CEPH	EUR
HG00125	GBR	British	EUR
NA18517	YRI	Yoruba	AFR
NA12761	CEU	CEPH	EUR
NA11992	CEU	CEPH	EUR
NA20509	TSI	Tuscan	EUR
NA19144	YRI	Yoruba	AFR
HG00149	GBR	British	EUR
NA19118	YRI	Yoruba	AFR
NA11831	CEU	CEPH	EUR
NA20759	TSI	Tuscan	EUR
NA19096	YRI	Yoruba	AFR
HG00263	GBR	British	EUR
HG00114	GBR	British	EUR
NA19137	YRI	Yoruba	AFR
HG00145	GBR	British	EUR
NA19257	YRI	Yoruba	AFR
HG00349	FIN	Finnish	EUR
NA12006	CEU	CEPH	EUR
NA11893	CEU	CEPH	EUR
HG00372	FIN	Finnish	EUR
NA20778	TSI	Tuscan	EUR
HG00250	GBR	British	EUR
NA12814	CEU	CEPH	EUR
HG00110	GBR	British	EUR
HG00285	FIN	Finnish	EUR
HG00152	GBR	British	EUR
NA18520	YRI	Yoruba	AFR
NA11892	CEU	CEPH	EUR
HG00121	GBR	British	EUR
NA20504	TSI	Tuscan	EUR
HG00358	FIN	Finnish	EUR
HG00186	FIN	Finnish	EUR
HG00256	GBR	British	EUR
NA12546	CEU	CEPH	EUR
NA19150	YRI	Yoruba	AFR
NA20806	TSI	Tuscan	EUR
HG00137	GBR	British	EUR
NA18933	YRI	Yoruba	AFR
NA18511	YRI	Yoruba	AFR
HG00337	FIN	Finnish	EUR
NA12843	CEU	CEPH	EUR
NA12762	CEU	CEPH	EUR
NA10847	CEU	CEPH	EUR
HG00383	FIN	Finnish	EUR
NA19184	YRI	Yoruba	AFR
NA19146	YRI	Yoruba	AFR
NA20768	TSI	Tuscan	EUR
HG00247	GBR	British	EUR
NA12342	CEU	CEPH	EUR
NA20754	TSI	Tuscan	EUR
NA19121	YRI	Yoruba	AFR
NA20760	TSI	Tuscan	EUR
HG00255	GBR	British	EUR
HG00239	GBR	British	EUR
HG00324	FIN	Finnish	EUR
NA20534	TSI	Tuscan	EUR
HG00382	FIN	Finnish	EUR
HG00151	GBR	British	EUR
HG00268	FIN	Finnish	EUR
HG00181	FIN	Finnish	EUR
HG00119	GBR	British	EUR
NA19256	YRI	Yoruba	AFR
HG00311	FIN	Finnish	EUR
NA11894	CEU	CEPH	EUR
HG00313	FIN	Finnish	EUR
HG00351	FIN	Finnish	EUR
NA20826	TSI	Tuscan	EUR
